displacement_tonnes,engine_power_kw,hull_coefficient,speed_knots,wave_height_m,wind_speed_kn,current_speed_kn,ship_type,fuel_type,load_condition,fuel_rate_tpd
45.0,2658.0,0.45,27.47,2.0,25.1,0.09,Interceptor,MGO,Laden,7.538
49.0,2580.0,0.459,27.73,0.48,3.3,0.16,Interceptor,MGO,Ballast,7.235
570.0,3607.0,0.56,7.33,1.55,17.6,1.44,Fast_Patrol,MGO,Laden,1.883
531.0,5375.0,0.462,22.57,2.83,8.0,0.25,Fast_Patrol,MGO,Laden,24.948
610.0,4238.0,0.476,5.08,1.56,12.0,-2.21,Fast_Patrol,MGO,Laden,2.384
804.0,6527.0,0.514,19.77,1.62,4.5,2.77,Fast_Patrol,MGO,Ballast,12.932
580.0,5066.0,0.42,24.01,3.13,18.6,0.13,Fast_Patrol,MGO,Ballast,26.867
283.0,3858.0,0.554,22.64,2.66,22.1,0.3,Fast_Patrol,MGO,Ballast,16.707
62.0,1463.0,0.467,23.47,1.2,12.8,-0.14,Interceptor,MGO,Ballast,4.875
69.0,2395.0,0.405,17.65,4.38,26.5,0.32,Interceptor,MGO,Ballast,2.698
78.0,3961.0,0.38,14.31,0.92,9.8,0.5,Interceptor,MGO,Ballast,1.279
76.0,3221.0,0.434,29.82,1.15,12.6,0.92,Interceptor,MGO,Laden,12.51
2131.0,4111.0,0.682,14.32,1.78,11.6,-0.2,Offshore_Patrol,MGO,Ballast,22.569
602.0,7039.0,0.46,8.39,2.57,22.9,-2.88,Fast_Patrol,MGO,Laden,4.853
60.0,2774.0,0.49,20.21,3.95,28.5,-0.54,Interceptor,MGO,Laden,5.662
2362.0,6551.0,0.648,13.04,1.19,8.5,-0.27,Offshore_Patrol,MGO,Ballast,16.859
444.0,5275.0,0.483,24.42,1.83,24.2,-0.84,Fast_Patrol,MGO,Laden,29.768
75.0,3239.0,0.423,19.89,4.38,28.4,-1.32,Interceptor,MGO,Ballast,5.513
50.0,1828.0,0.438,8.4,3.28,18.5,-0.59,Interceptor,MGO,Laden,0.527
33.0,3169.0,0.411,11.55,2.3,22.8,1.01,Interceptor,MGO,Laden,0.517
319.0,5481.0,0.51,6.82,2.0,19.3,0.36,Fast_Patrol,MGO,Ballast,1.375
50.0,3766.0,0.4,15.81,0.42,0.0,-1.64,Interceptor,MGO,Laden,1.855
48.0,2927.0,0.446,25.97,2.54,9.5,-2.12,Interceptor,MGO,Laden,7.772
51.0,1937.0,0.416,30.36,1.26,14.1,-2.14,Interceptor,MGO,Laden,11.494
754.0,4827.0,0.502,6.53,3.57,22.0,0.27,Fast_Patrol,MGO,Laden,2.528
46.0,2752.0,0.436,34.79,1.94,17.3,-1.83,Interceptor,MGO,Ballast,17.084
1292.0,12703.0,0.609,11.84,0.56,5.5,-0.13,Offshore_Patrol,VLSFO,Laden,9.336
53.0,3768.0,0.44,17.82,0.75,11.3,0.76,Interceptor,MGO,Ballast,1.952
728.0,7379.0,0.461,23.92,6.08,44.4,0.45,Fast_Patrol,MGO,Laden,47.802
441.0,6325.0,0.569,9.2,2.65,10.6,-0.45,Fast_Patrol,MGO,Laden,2.921
442.0,5264.0,0.397,15.28,1.15,6.0,1.84,Fast_Patrol,MGO,Laden,4.601
69.0,3155.0,0.434,18.6,2.02,24.2,-0.76,Interceptor,MGO,Laden,3.743
741.0,9591.0,0.631,14.35,1.51,15.4,0.13,Offshore_Patrol,MGO,Ballast,10.327
1983.0,11635.0,0.691,19.23,3.54,28.8,-0.49,Offshore_Patrol,MGO,Ballast,63.205
86.0,2149.0,0.442,27.98,2.85,32.8,-0.27,Interceptor,MGO,Laden,15.836
34.0,4421.0,0.386,14.64,8.0,50.0,0.95,Interceptor,MGO,Ballast,1.124
1693.0,7147.0,0.611,11.62,2.22,18.0,0.74,Offshore_Patrol,MGO,Ballast,9.879
569.0,3703.0,0.455,26.54,0.66,2.4,-2.21,Fast_Patrol,MGO,Ballast,40.388
41.0,2248.0,0.383,21.22,0.29,12.7,-1.27,Interceptor,MGO,Ballast,2.854
48.0,2854.0,0.418,25.31,0.17,12.2,0.96,Interceptor,MGO,Laden,4.521
444.0,9013.0,0.475,9.81,3.32,25.6,-1.61,Fast_Patrol,MGO,Laden,4.48
534.0,8375.0,0.462,22.95,1.91,25.8,-1.25,Fast_Patrol,VLSFO,Ballast,28.115
464.0,7732.0,0.549,18.44,1.51,15.5,0.38,Fast_Patrol,MGO,Laden,13.361
2535.0,8901.0,0.572,16.6,0.81,10.2,1.13,Offshore_Patrol,MGO,Laden,28.063
502.0,5156.0,0.434,14.33,1.67,21.0,0.98,Fast_Patrol,MGO,Laden,6.244
71.0,2378.0,0.419,12.09,2.84,24.5,-1.97,Interceptor,MGO,Laden,1.541
381.0,5399.0,0.562,15.56,1.54,18.0,-0.36,Fast_Patrol,MGO,Ballast,8.811
649.0,6481.0,0.489,14.44,3.71,16.5,-0.49,Fast_Patrol,MGO,Laden,10.156
57.0,2378.0,0.399,13.39,5.17,37.8,-0.76,Interceptor,MGO,Ballast,1.564
49.0,2729.0,0.43,15.69,2.02,14.6,-1.93,Interceptor,MGO,Laden,2.185
694.0,4927.0,0.446,24.03,1.43,10.7,1.6,Fast_Patrol,MGO,Laden,23.589
538.0,4813.0,0.416,23.72,1.33,11.8,-0.17,Fast_Patrol,MGO,Ballast,22.724
71.0,3382.0,0.456,22.33,1.94,13.2,-1.21,Interceptor,MGO,Ballast,6.096
546.0,7750.0,0.491,13.59,2.0,20.6,0.39,Fast_Patrol,MGO,Laden,6.137
625.0,5934.0,0.472,21.04,2.22,12.3,-0.24,Fast_Patrol,MGO,Ballast,19.743
550.0,4656.0,0.509,17.23,0.42,0.0,0.97,Fast_Patrol,MGO,Ballast,7.667
1852.0,8696.0,0.708,12.17,2.16,17.2,-0.63,Offshore_Patrol,HFO,Laden,18.24
2124.0,8015.0,0.579,24.42,2.13,24.4,-0.56,Offshore_Patrol,VLSFO,Laden,108.743
758.0,7143.0,0.482,22.21,2.77,19.0,-0.0,Fast_Patrol,MGO,Ballast,30.042
74.0,3774.0,0.468,13.11,3.07,22.1,0.79,Interceptor,MGO,Laden,1.465
392.0,5311.0,0.538,6.15,3.88,26.8,-1.21,Fast_Patrol,MGO,Ballast,1.824
653.0,3625.0,0.494,12.73,2.29,31.3,-1.71,Fast_Patrol,MGO,Ballast,8.046
60.0,2768.0,0.476,11.25,3.09,28.2,0.58,Interceptor,MGO,Ballast,0.928
48.0,2394.0,0.38,9.49,2.31,15.8,0.31,Interceptor,MGO,Ballast,0.478
64.0,3287.0,0.38,29.28,3.83,26.9,0.03,Interceptor,MGO,Laden,11.993
536.0,4638.0,0.483,12.72,1.72,11.4,0.07,Fast_Patrol,MGO,Ballast,4.717
415.0,5380.0,0.539,18.73,1.17,21.3,0.01,Fast_Patrol,MGO,Ballast,13.04
57.0,3305.0,0.408,31.58,1.88,8.6,1.59,Interceptor,MGO,Ballast,10.161
1925.0,9378.0,0.557,18.67,4.42,26.6,0.23,Offshore_Patrol,VLSFO,Ballast,39.958
1382.0,6993.0,0.633,22.05,1.24,16.8,-0.26,Offshore_Patrol,MGO,Ballast,56.704
56.0,3144.0,0.423,32.14,4.36,39.7,-1.27,Interceptor,MGO,Ballast,18.264
2012.0,11177.0,0.636,13.64,2.37,19.1,-0.49,Offshore_Patrol,MGO,Laden,25.33
52.0,3165.0,0.41,29.65,3.3,23.4,0.64,Interceptor,MGO,Ballast,10.089
1470.0,9841.0,0.638,10.13,2.52,20.3,0.87,Offshore_Patrol,VLSFO,Ballast,6.684
1450.0,8687.0,0.655,6.58,1.99,17.3,-1.78,Offshore_Patrol,MGO,Ballast,4.991
74.0,2932.0,0.398,9.12,1.16,22.5,1.04,Interceptor,MGO,Ballast,0.571
1561.0,9240.0,0.614,21.34,7.53,50.0,-0.17,Offshore_Patrol,MGO,Ballast,67.894
1526.0,8456.0,0.614,18.96,0.51,6.2,2.8,Offshore_Patrol,MGO,Laden,23.804
1916.0,5898.0,0.597,21.42,3.63,28.7,1.44,Offshore_Patrol,VLSFO,Laden,60.728
1843.0,7217.0,0.625,18.58,0.36,11.8,-0.25,Offshore_Patrol,MGO,Ballast,34.73
820.0,6264.0,0.509,9.78,4.89,29.6,-1.43,Fast_Patrol,MGO,Ballast,6.152
64.0,3059.0,0.408,7.93,2.84,23.3,-1.27,Interceptor,MGO,Laden,0.726
2114.0,8676.0,0.642,5.76,0.91,10.6,-0.68,Offshore_Patrol,MGO,Laden,5.033
836.0,6206.0,0.531,17.23,0.97,5.1,2.12,Fast_Patrol,MGO,Ballast,10.276
525.0,7473.0,0.546,27.54,1.88,14.2,-0.41,Fast_Patrol,MGO,Ballast,45.196
603.0,5716.0,0.488,6.0,0.32,4.5,0.22,Fast_Patrol,MGO,Laden,1.787
493.0,5441.0,0.502,16.58,3.79,25.2,-0.21,Fast_Patrol,MGO,Laden,12.979
76.0,2891.0,0.439,19.97,1.08,20.8,-0.28,Interceptor,MGO,Laden,4.676
513.0,7494.0,0.534,8.18,0.58,8.6,-0.55,Fast_Patrol,VLSFO,Laden,2.474
80.0,3642.0,0.38,20.64,3.38,27.0,1.71,Interceptor,MGO,Laden,4.04
414.0,7174.0,0.402,18.4,0.26,9.9,0.99,Fast_Patrol,MGO,Laden,7.491
1370.0,8365.0,0.656,13.5,1.73,15.1,-1.76,Offshore_Patrol,HFO,Laden,21.687
396.0,5744.0,0.496,10.54,0.76,7.4,-2.03,Fast_Patrol,MGO,Laden,3.692
771.0,6350.0,0.491,25.76,2.47,27.3,0.93,Fast_Patrol,MGO,Ballast,40.921
67.0,4337.0,0.514,26.98,3.84,35.5,1.25,Interceptor,MGO,Laden,11.293
1899.0,10166.0,0.584,11.63,0.31,11.4,-1.15,Offshore_Patrol,MGO,Laden,12.985
545.0,5430.0,0.515,12.31,3.87,27.6,-0.56,Fast_Patrol,VLSFO,Ballast,6.28
556.0,4605.0,0.468,27.04,1.56,16.1,1.28,Fast_Patrol,MGO,Laden,38.141
52.0,3108.0,0.421,11.69,0.68,5.0,0.73,Interceptor,MGO,Ballast,0.643
76.0,2996.0,0.462,32.93,0.64,9.3,-0.03,Interceptor,MGO,Laden,16.401
453.0,8637.0,0.544,5.1,1.56,8.5,0.65,Fast_Patrol,MGO,Laden,1.446
1807.0,10009.0,0.57,13.67,0.26,10.6,-0.33,Offshore_Patrol,MGO,Laden,16.032
573.0,5350.0,0.47,24.14,1.51,22.3,-0.52,Fast_Patrol,MGO,Laden,35.989
67.0,3154.0,0.397,14.3,1.67,9.4,1.25,Interceptor,MGO,Ballast,1.069
2081.0,7992.0,0.655,18.36,2.6,29.4,-0.83,Offshore_Patrol,MGO,Ballast,55.135
370.0,6354.0,0.482,11.02,3.62,29.8,-0.59,Fast_Patrol,MGO,Laden,4.167
2100.0,7277.0,0.599,16.32,2.77,17.7,2.01,Offshore_Patrol,MGO,Laden,24.258
99.0,2605.0,0.443,22.33,4.45,33.0,-1.06,Interceptor,MGO,Laden,10.525
457.0,4182.0,0.473,9.64,0.78,17.4,1.97,Fast_Patrol,MGO,Laden,2.061
2063.0,10359.0,0.581,17.71,2.36,25.4,0.19,Offshore_Patrol,VLSFO,Laden,39.128
65.0,3459.0,0.424,30.93,2.51,26.1,-0.02,Interceptor,MGO,Ballast,13.011
406.0,6884.0,0.549,25.34,4.38,29.4,0.6,Fast_Patrol,MGO,Ballast,34.684
1604.0,9341.0,0.546,9.21,2.49,15.2,0.98,Offshore_Patrol,MGO,Laden,6.041
70.0,3265.0,0.454,20.7,0.98,10.9,1.61,Interceptor,MGO,Ballast,3.818
64.0,2748.0,0.412,27.61,1.77,16.2,-0.3,Interceptor,MGO,Ballast,8.749
705.0,4553.0,0.417,12.0,2.39,18.3,0.51,Fast_Patrol,MGO,Laden,4.729
59.0,3541.0,0.482,27.47,0.45,4.7,-0.56,Interceptor,MGO,Laden,9.451
56.0,3011.0,0.38,28.7,4.77,28.6,-0.68,Interceptor,MGO,Laden,11.083
352.0,8014.0,0.571,18.43,1.79,19.3,0.12,Fast_Patrol,MGO,Ballast,11.273
2010.0,7881.0,0.676,14.92,6.17,38.5,0.86,Offshore_Patrol,MGO,Laden,29.71
64.0,2418.0,0.458,29.33,0.53,12.2,-1.13,Interceptor,MGO,Laden,12.893
68.0,3211.0,0.425,16.77,0.82,8.4,-1.94,Interceptor,MGO,Laden,3.16
1795.0,6944.0,0.631,9.7,2.58,20.0,-1.25,Offshore_Patrol,MGO,Laden,11.566
408.0,8157.0,0.559,21.95,1.34,7.1,-0.6,Fast_Patrol,MGO,Laden,20.659
2526.0,7783.0,0.642,15.22,3.51,28.1,1.52,Offshore_Patrol,MGO,Laden,25.458
304.0,6679.0,0.477,14.64,1.89,15.0,-1.04,Fast_Patrol,MGO,Ballast,5.37
2044.0,9706.0,0.637,10.9,1.82,10.6,0.57,Offshore_Patrol,MGO,Ballast,9.938
443.0,6138.0,0.541,7.33,1.77,14.5,1.33,Fast_Patrol,MGO,Ballast,1.348
77.0,3142.0,0.38,15.91,0.59,4.3,-0.95,Interceptor,MGO,Ballast,2.206
2032.0,12036.0,0.629,9.34,1.93,8.7,1.6,Offshore_Patrol,MGO,Ballast,5.991
495.0,5775.0,0.505,26.21,0.78,13.4,0.66,Fast_Patrol,VLSFO,Ballast,30.872
65.0,3576.0,0.498,29.1,6.34,37.3,-1.19,Interceptor,MGO,Ballast,16.957
53.0,3499.0,0.494,22.39,0.2,8.5,-0.5,Interceptor,MGO,Laden,5.067
667.0,5943.0,0.566,19.89,2.13,29.2,-0.98,Fast_Patrol,MGO,Laden,26.527
55.0,2934.0,0.38,23.23,2.32,14.2,-0.34,Interceptor,MGO,Laden,5.329
40.0,2717.0,0.427,17.36,2.6,22.9,0.45,Interceptor,MGO,Ballast,1.743
85.0,3001.0,0.448,11.05,3.09,21.5,-0.81,Interceptor,MGO,Laden,1.544
523.0,6491.0,0.538,25.53,0.37,8.5,0.41,Fast_Patrol,MGO,Ballast,32.645
501.0,6108.0,0.588,22.66,2.38,10.4,0.18,Fast_Patrol,MGO,Ballast,26.266
586.0,7178.0,0.438,22.8,1.69,17.2,-1.31,Fast_Patrol,MGO,Ballast,27.699
52.0,3218.0,0.438,18.71,1.5,14.5,0.42,Interceptor,MGO,Laden,2.913
75.0,3290.0,0.481,34.09,3.37,37.3,1.26,Interceptor,MGO,Ballast,19.456
497.0,4898.0,0.508,18.57,4.1,19.4,-0.32,Fast_Patrol,MGO,Laden,16.962
839.0,7834.0,0.431,5.14,0.51,5.6,0.85,Fast_Patrol,MGO,Ballast,1.875
479.0,5493.0,0.479,25.3,1.79,18.0,-1.26,Fast_Patrol,MGO,Ballast,35.075
64.0,3181.0,0.472,13.73,2.98,27.3,1.82,Interceptor,MGO,Laden,1.262
65.0,2946.0,0.431,13.16,1.92,15.9,0.7,Interceptor,MGO,Laden,1.212
58.0,3598.0,0.511,8.92,3.89,34.7,0.82,Interceptor,MGO,Ballast,0.531
600.0,5105.0,0.59,24.11,0.95,11.0,-0.82,Fast_Patrol,MGO,Laden,39.126
649.0,6435.0,0.519,21.72,3.67,27.7,0.82,Fast_Patrol,MGO,Ballast,26.446
1488.0,8619.0,0.619,23.81,1.35,4.4,0.47,Offshore_Patrol,MGO,Ballast,57.595
476.0,6512.0,0.539,25.2,0.77,12.5,0.86,Fast_Patrol,MGO,Ballast,26.2
570.0,3916.0,0.521,9.24,1.93,24.2,1.53,Fast_Patrol,MGO,Laden,2.421
490.0,5423.0,0.518,11.48,1.57,9.5,-0.61,Fast_Patrol,MGO,Ballast,4.622
48.0,2595.0,0.457,19.44,0.46,5.5,1.53,Interceptor,MGO,Ballast,2.097
583.0,3394.0,0.479,8.61,1.8,8.7,0.89,Fast_Patrol,MGO,Ballast,2.142
45.0,4488.0,0.406,13.66,3.27,27.0,-1.43,Interceptor,MGO,Laden,1.734
562.0,5189.0,0.472,19.87,4.27,29.8,1.96,Fast_Patrol,MGO,Ballast,14.306
86.0,3458.0,0.398,25.61,2.96,26.8,-0.65,Interceptor,MGO,Ballast,9.105
1764.0,7501.0,0.617,10.36,0.89,10.0,0.23,Offshore_Patrol,MGO,Ballast,7.523
2104.0,12883.0,0.581,17.52,2.29,18.3,0.28,Offshore_Patrol,MGO,Ballast,33.762
62.0,2324.0,0.47,9.05,0.39,7.0,-1.16,Interceptor,MGO,Ballast,0.75
533.0,5241.0,0.478,15.08,2.7,22.1,1.03,Fast_Patrol,MGO,Ballast,7.284
1969.0,8331.0,0.549,17.53,2.54,20.3,-0.53,Offshore_Patrol,MGO,Ballast,36.163
77.0,3111.0,0.388,12.42,0.89,12.4,-1.54,Interceptor,MGO,Ballast,1.426
1964.0,7571.0,0.71,16.53,1.32,20.1,-0.99,Offshore_Patrol,VLSFO,Ballast,36.018
411.0,6357.0,0.391,7.36,2.13,22.7,-2.18,Fast_Patrol,MGO,Ballast,2.35
1299.0,8267.0,0.622,19.38,2.52,28.9,-1.6,Offshore_Patrol,MGO,Ballast,46.934
1674.0,8177.0,0.602,17.17,3.37,19.4,1.18,Offshore_Patrol,MGO,Laden,29.003
81.0,3464.0,0.404,6.86,0.38,3.5,-1.84,Interceptor,MGO,Laden,0.656
774.0,5055.0,0.497,18.24,0.35,12.6,0.41,Fast_Patrol,MGO,Ballast,14.053
620.0,5339.0,0.51,12.8,2.18,13.0,-0.7,Fast_Patrol,MGO,Laden,7.367
54.0,2790.0,0.41,6.24,2.9,30.5,1.29,Interceptor,MGO,Ballast,0.331
66.0,2103.0,0.434,29.42,1.4,10.9,-0.03,Interceptor,MGO,Ballast,10.307
1890.0,11287.0,0.588,21.99,1.29,12.0,-1.45,Offshore_Patrol,MGO,Laden,68.505
61.0,2377.0,0.412,32.18,0.75,7.7,0.7,Interceptor,MGO,Laden,13.512
359.0,7565.0,0.475,16.28,3.06,23.4,-0.46,Fast_Patrol,VLSFO,Laden,8.788
2481.0,5987.0,0.662,5.51,2.01,25.3,0.8,Offshore_Patrol,MGO,Laden,3.951
43.0,3325.0,0.38,27.92,2.46,26.3,0.38,Interceptor,MGO,Ballast,6.2
500.0,8477.0,0.495,11.01,1.5,23.8,-1.27,Fast_Patrol,MGO,Ballast,4.336
1244.0,10070.0,0.626,6.48,1.34,24.5,-0.16,Offshore_Patrol,VLSFO,Laden,4.37
362.0,4895.0,0.521,8.71,1.7,12.9,-0.69,Fast_Patrol,MGO,Laden,2.365
57.0,1947.0,0.466,30.95,1.58,9.4,-0.32,Interceptor,MGO,Laden,14.213
69.0,2130.0,0.404,7.6,4.05,30.1,-0.17,Interceptor,MGO,Laden,0.58
1582.0,8980.0,0.585,16.08,0.68,10.7,-1.92,Offshore_Patrol,MGO,Laden,26.281
53.0,3322.0,0.501,31.94,3.1,16.2,0.35,Interceptor,MGO,Laden,16.797
641.0,7223.0,0.535,15.37,1.08,15.4,-0.4,Fast_Patrol,MGO,Laden,10.385
55.0,2866.0,0.432,18.98,1.3,7.6,-1.54,Interceptor,MGO,Ballast,3.305
547.0,6465.0,0.452,10.2,2.17,16.0,-1.4,Fast_Patrol,MGO,Laden,4.041
1241.0,7998.0,0.608,12.99,2.85,25.8,-2.09,Offshore_Patrol,VLSFO,Laden,20.18
550.0,3913.0,0.468,14.32,1.53,16.5,2.33,Fast_Patrol,MGO,Ballast,4.374
2130.0,8395.0,0.632,9.24,0.63,9.2,-0.05,Offshore_Patrol,MGO,Ballast,7.536
57.0,2583.0,0.471,28.06,5.05,36.5,0.44,Interceptor,MGO,Laden,12.583
449.0,5051.0,0.53,13.79,0.42,10.8,1.72,Fast_Patrol,MGO,Laden,4.195
2474.0,8549.0,0.605,12.06,0.66,6.0,3.0,Offshore_Patrol,MGO,Ballast,6.735
512.0,2367.0,0.524,26.63,4.39,33.0,-0.86,Fast_Patrol,MGO,Ballast,53.329
92.0,2703.0,0.445,23.47,3.65,26.9,-0.64,Interceptor,MGO,Ballast,9.539
2144.0,9159.0,0.653,17.99,4.63,33.5,-1.22,Offshore_Patrol,VLSFO,Laden,68.166
644.0,6388.0,0.554,9.3,1.07,17.2,-0.19,Fast_Patrol,MGO,Laden,3.341
677.0,4708.0,0.552,11.59,0.84,11.5,-2.18,Fast_Patrol,MGO,Ballast,7.297
2231.0,8188.0,0.705,22.06,3.3,31.9,1.56,Offshore_Patrol,MGO,Ballast,74.236
32.0,2118.0,0.473,15.5,0.61,6.2,0.59,Interceptor,MGO,Ballast,0.953
68.0,3291.0,0.443,12.94,0.85,9.7,-0.26,Interceptor,MGO,Ballast,1.275
56.0,2516.0,0.429,8.54,0.44,0.0,-1.76,Interceptor,MGO,Ballast,0.66
652.0,6161.0,0.597,23.21,1.02,6.3,1.72,Fast_Patrol,MGO,Ballast,24.034
50.0,2679.0,0.464,17.38,0.75,7.6,-0.54,Interceptor,MGO,Laden,2.575
364.0,9085.0,0.488,11.8,0.54,10.6,2.08,Fast_Patrol,MGO,Ballast,2.123
56.0,3208.0,0.519,19.82,1.82,13.4,-0.37,Interceptor,MGO,Laden,4.261
528.0,7912.0,0.563,16.05,1.25,7.0,0.08,Fast_Patrol,MGO,Laden,10.32
70.0,2846.0,0.409,34.49,2.39,21.1,-1.5,Interceptor,MGO,Ballast,21.627
580.0,5080.0,0.463,22.52,0.65,0.5,1.44,Fast_Patrol,MGO,Ballast,16.386
71.0,2577.0,0.452,6.12,0.99,2.8,-2.01,Interceptor,MGO,Ballast,0.595
462.0,4789.0,0.596,5.1,0.37,3.1,0.93,Fast_Patrol,MGO,Laden,1.239
351.0,7552.0,0.518,27.0,1.21,14.2,1.65,Fast_Patrol,MGO,Ballast,27.754
396.0,4794.0,0.522,15.65,3.3,20.4,-2.0,Fast_Patrol,MGO,Laden,11.153
1587.0,8882.0,0.603,8.63,2.88,22.7,1.12,Offshore_Patrol,MGO,Laden,5.284
730.0,7189.0,0.54,22.47,1.56,18.1,1.73,Fast_Patrol,MGO,Laden,26.25
63.0,1806.0,0.42,22.7,6.14,44.2,0.52,Interceptor,MGO,Laden,5.939
2148.0,7601.0,0.609,10.85,0.39,16.0,0.7,Offshore_Patrol,MGO,Ballast,9.153
76.0,3220.0,0.44,20.75,3.61,27.5,0.46,Interceptor,MGO,Ballast,4.95
79.0,3047.0,0.422,5.69,0.68,16.2,0.08,Interceptor,MGO,Laden,0.469
407.0,9283.0,0.446,26.18,1.64,18.0,-1.23,Fast_Patrol,MGO,Laden,32.913
72.0,2690.0,0.38,14.89,2.6,18.6,-0.07,Interceptor,MGO,Laden,1.863
52.0,2378.0,0.412,17.69,0.91,5.6,-0.36,Interceptor,MGO,Laden,2.368
556.0,6811.0,0.457,25.17,1.06,12.2,2.25,Fast_Patrol,MGO,Ballast,21.454
67.0,3008.0,0.46,19.83,3.61,20.2,-0.08,Interceptor,MGO,Ballast,4.079
1691.0,12927.0,0.587,7.8,1.79,14.7,-0.04,Offshore_Patrol,VLSFO,Laden,5.516
2024.0,10817.0,0.614,24.93,0.44,6.9,0.23,Offshore_Patrol,MGO,Ballast,86.95
531.0,7421.0,0.505,10.07,1.27,18.6,0.54,Fast_Patrol,MGO,Laden,3.006
532.0,7282.0,0.514,17.77,0.96,7.2,-0.93,Fast_Patrol,MGO,Ballast,12.85
512.0,5331.0,0.583,14.45,0.34,9.2,1.14,Fast_Patrol,MGO,Ballast,5.452
2201.0,9879.0,0.542,5.4,0.45,2.8,-0.1,Offshore_Patrol,VLSFO,Laden,4.265
67.0,3288.0,0.389,12.0,2.12,22.1,0.88,Interceptor,MGO,Ballast,0.91
48.0,3059.0,0.457,6.02,0.76,17.1,-1.08,Interceptor,MGO,Laden,0.353
645.0,6348.0,0.462,17.24,6.49,39.8,-0.16,Fast_Patrol,MGO,Laden,17.619
554.0,4852.0,0.562,22.93,2.23,19.1,1.78,Fast_Patrol,MGO,Laden,27.083
36.0,3983.0,0.427,13.82,3.33,38.0,2.39,Interceptor,MGO,Ballast,0.673
475.0,7548.0,0.489,13.15,0.26,2.9,0.8,Fast_Patrol,MGO,Ballast,3.835
30.0,3423.0,0.412,30.09,2.23,11.1,-1.34,Interceptor,MGO,Ballast,7.107
1883.0,8201.0,0.664,8.15,1.87,17.3,-2.21,Offshore_Patrol,MGO,Laden,10.761
61.0,2936.0,0.456,29.24,2.49,14.6,0.8,Interceptor,MGO,Ballast,10.118
64.0,3443.0,0.447,10.42,0.11,7.5,2.38,Interceptor,MGO,Ballast,0.533
42.0,3029.0,0.437,24.39,5.33,41.3,-0.46,Interceptor,MGO,Ballast,6.331
76.0,3027.0,0.461,32.71,1.56,9.3,-0.23,Interceptor,MGO,Laden,18.85
62.0,3778.0,0.428,10.16,1.56,7.0,0.33,Interceptor,MGO,Ballast,0.651
80.0,2461.0,0.38,8.86,1.78,20.8,3.0,Interceptor,MGO,Ballast,0.456
66.0,3014.0,0.405,5.66,0.86,18.9,0.23,Interceptor,MGO,Ballast,0.341
44.0,3714.0,0.38,10.17,4.77,32.1,0.25,Interceptor,MGO,Ballast,0.579
556.0,4698.0,0.489,15.98,0.2,13.1,-0.44,Fast_Patrol,MGO,Ballast,9.22
397.0,6841.0,0.493,18.98,1.16,20.8,0.14,Fast_Patrol,MGO,Laden,10.075
67.0,3185.0,0.446,29.42,1.2,15.8,1.37,Interceptor,MGO,Ballast,9.13
70.0,2779.0,0.456,29.42,0.87,10.9,-0.77,Interceptor,MGO,Laden,13.175
52.0,1976.0,0.458,21.21,1.42,16.9,1.16,Interceptor,MGO,Laden,3.668
38.0,1638.0,0.44,15.01,1.16,16.3,1.21,Interceptor,MGO,Laden,1.125
62.0,4246.0,0.459,29.2,0.73,0.0,-0.94,Interceptor,MGO,Laden,13.036
2328.0,10479.0,0.567,12.7,1.63,14.2,0.97,Offshore_Patrol,VLSFO,Ballast,12.973
1935.0,9539.0,0.588,8.98,1.89,9.8,2.48,Offshore_Patrol,MGO,Laden,4.789
2109.0,9214.0,0.623,18.6,7.09,43.0,-1.45,Offshore_Patrol,MGO,Ballast,71.84
607.0,7358.0,0.488,11.22,0.72,10.9,-0.17,Fast_Patrol,MGO,Ballast,4.344
468.0,5410.0,0.519,18.95,2.22,17.9,0.32,Fast_Patrol,MGO,Ballast,13.212
45.0,3185.0,0.38,10.85,2.18,18.3,0.47,Interceptor,MGO,Ballast,0.636
2756.0,8041.0,0.675,5.46,3.15,23.3,-1.13,Offshore_Patrol,MGO,Ballast,6.822
2199.0,9494.0,0.586,15.3,2.83,21.0,-1.49,Offshore_Patrol,MGO,Laden,36.653
1700.0,12030.0,0.613,8.93,0.28,6.6,-0.88,Offshore_Patrol,MGO,Laden,7.326
1808.0,9145.0,0.632,17.64,1.37,21.0,0.13,Offshore_Patrol,VLSFO,Ballast,33.169
475.0,5135.0,0.484,8.42,0.67,12.3,-0.55,Fast_Patrol,MGO,Ballast,2.265
2349.0,8525.0,0.593,7.35,0.46,3.1,1.05,Offshore_Patrol,VLSFO,Ballast,4.918
2417.0,9179.0,0.615,8.95,1.35,10.9,1.46,Offshore_Patrol,MGO,Ballast,5.657
77.0,2650.0,0.416,9.2,2.29,22.2,-1.02,Interceptor,MGO,Ballast,0.918
1985.0,9079.0,0.556,21.6,4.33,29.7,0.41,Offshore_Patrol,VLSFO,Ballast,60.885
54.0,3210.0,0.38,7.68,1.76,18.1,0.13,Interceptor,MGO,Laden,0.448
1389.0,8015.0,0.599,23.0,0.79,9.6,3.0,Offshore_Patrol,VLSFO,Ballast,30.19
1620.0,7666.0,0.669,12.23,1.92,17.6,-0.5,Offshore_Patrol,VLSFO,Ballast,13.49
86.0,2431.0,0.406,30.54,2.44,26.0,0.5,Interceptor,MGO,Ballast,15.374
612.0,5796.0,0.444,19.3,3.91,30.4,2.4,Fast_Patrol,MGO,Laden,13.686
